county_fips,org_count,total_revenue,total_expenses,total_gov_grants,total_org_grants,avg_revenue,avg_expenses
13285,102,314995318,293835207,25326468.0,5.0,3088189.3921568627,2880737.3235294116
13287,1,0,0,0.0,0.0,0.0,0.0
13289,2,426506,440745,0.0,0.0,213253.0,220372.5
13291,21,148136992,126063565,2487289.0,1.0,7054142.476190476,6003026.904761905
13293,14,160959570,153295976,661034.0,0.0,11497112.142857144,10949712.57142857
13295,33,94260502,86052111,2716308.0,1.0,2856378.8484848486,2607639.727272727
13297,52,672670608,632780156,2525660.0,0.0,12935973.23076923,12168849.153846154
13299,42,65045350,62451936,39248178.0,0.0,1548698.8095238095,1486950.857142857
13301,5,4462547,4047184,299741.0,0.0,892509.4,809436.8
13303,24,69394869,67958899,6615944.0,0.0,2891452.875,2831620.7916666665
13305,18,42499752,35774970,1599839.0,0.0,2361097.3333333335,1987498.3333333333
13309,3,27602245,27638037,53711.0,0.0,9200748.333333334,9212679.0
13311,25,73515339,62841341,5158377.0,0.0,2940613.56,2513653.64
13313,105,1021749635,1222184786,10541499.0,5.0,9730948.904761905,11639855.104761904
13315,3,303316,815323,0.0,0.0,101105.33333333333,271774.3333333333
13317,4,41485501,41514172,387657.0,0.0,10371375.25,10378543.0
13319,8,2564268,2251056,303201.0,0.0,320533.5,281382.0
13321,7,26343934,22298897,200618.0,0.0,3763419.1428571427,3185556.714285714
