state_abbr,county_fips,county_name,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults
AL,01061,Geneva,40.6,14.0,25.7,27.2,20.9,14.0,42.3
AL,01063,Greene,50.4,8.8,20.4,38.7,41.3,27.3,52.7
AL,01065,Hale,42.7,11.2,21.2,30.5,30.1,21.2,47.6
AL,01067,Henry,39.1,12.7,23.0,25.2,19.8,13.7,41.3
AL,01069,Houston,39.2,13.3,24.9,24.9,20.4,15.0,40.5
AL,01071,Jackson,43.4,13.9,26.7,26.8,19.6,12.8,39.3
AL,01073,Jefferson,35.3,14.5,22.7,20.9,20.1,15.0,37.4
AL,01075,Lamar,42.4,13.3,24.7,27.1,19.8,13.2,40.8
AL,01077,Lauderdale,36.0,14.6,24.2,21.0,15.1,10.8,35.6
AL,01079,Lawrence,39.7,14.0,24.9,25.4,19.7,13.6,39.5
AL,01081,Lee,32.7,15.5,23.6,19.7,17.1,12.9,38.4
AL,01083,Limestone,33.3,15.3,23.7,20.2,15.1,11.5,39.6
AL,01085,Lowndes,47.8,9.6,20.9,36.0,38.3,26.0,51.2
AL,01087,Macon,42.4,10.4,20.7,29.2,31.3,22.0,46.7
AL,01089,Madison,30.3,14.6,21.6,17.8,13.3,10.8,39.9
AL,01091,Marengo,42.1,11.5,22.3,29.1,27.3,19.0,43.1
AL,01093,Marion,41.6,13.9,25.7,26.0,19.0,12.4,42.4
AL,01095,Marshall,39.1,14.8,25.4,24.6,18.3,12.7,37.6
AL,01097,Mobile,35.8,13.7,22.1,23.0,21.5,15.5,39.0
AL,01099,Monroe,44.1,11.4,22.7,30.8,27.7,18.9,43.8
AL,01101,Montgomery,37.6,12.2,21.0,24.5,24.8,19.0,46.1
AL,01103,Morgan,37.7,14.3,24.0,23.7,17.9,12.9,38.6
AL,01105,Perry,49.1,9.7,22.1,37.2,39.4,26.2,52.9
AL,01107,Pickens,41.6,12.6,22.3,29.0,26.7,18.8,48.0
AL,01109,Pike,39.0,13.9,24.7,23.8,23.7,16.6,40.3
AL,01111,Randolph,39.9,13.3,24.4,25.2,19.2,13.2,37.8
AL,01113,Russell,39.8,13.0,23.9,27.4,27.4,20.0,43.0
AL,01115,St. Clair,36.0,15.3,25.0,21.3,15.4,11.6,39.6
AL,01117,Shelby,28.1,16.3,21.6,16.1,11.1,8.8,31.7
AL,01119,Sumter,42.6,10.9,21.5,29.6,32.0,22.2,47.2
AL,01121,Talladega,39.4,13.2,22.7,26.4,22.5,16.2,45.6
